,geo,text,name,location,hashtags,source,followers_count,friends_count,created_at,verification_status,entities,sentiment
4500,,#KidsLivesMatter #DefundPrivateEd #FundPublicSchools #Covid_19 #COVID #coronavirus.                    Betsy DeVos defends reopening schools: 'Kids have got to get back to school'  ,debbidesc,"Maryland, USA","['KidsLivesMatter', 'DefundPrivateEd', 'FundPublicSchools', 'Covid_19', 'COVID', 'coronavirus']",Twitter for iPhone,21,178,2020-07-12 16:58:37,False,"['', '', ('Betsy DeVos', 'PERSON')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4501,, Follow .  Share the stories of so many lost to #COVID19.  Remind everyone that they are not just numbers. The…,ctriii,"Fort Worth, TX",['COVID19'],Twitter for iPad,57,54,2020-07-12 16:58:36,False,[],"{'neg': 0.118, 'neu': 0.781, 'pos': 0.101, 'compound': -0.0972}"
4502,," . is releasing 8,000 inmates due to #coronavirus fears! 🤬 I’m fed up with his “leadership.” I’m seriously cons…",JosephGendron17,,['coronavirus'],Twitter for iPhone,188,352,2020-07-12 16:58:36,False,"[('8,000', 'CARDINAL'), '']","{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.5848}"
4503,,UP govt issues guidelines for university academic session | Check latest dates#uttarpradeshlockdown #UttarPradesh #Covid_19 #coronavirus ,indiatvnews,India,"['uttarpradeshlockdown', 'UttarPradesh', 'Covid_19', 'coronavirus']",Twitter Web App,1360731,44,2020-07-12 16:58:35,True,"['', '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4504,,#rajasthan #goverment busy in #saving there #party and here #jodhpur has crossed 150+ cases of #coronavirus Still no #action taken our new #collector also not taking any #action #StayHomeStaySafe,jituhaswani,Blue City,"['rajasthan', 'goverment', 'saving', 'party', 'jodhpur', 'coronavirus', 'action', 'collector', 'action', 'StayHomeStaySafe']",Twitter for iPhone,99,173,2020-07-12 16:58:35,False,"['', '', ('150', 'CARDINAL'), '']","{'neg': 0.073, 'neu': 0.927, 'pos': 0.0, 'compound': -0.296}"
4505,,Good job   Florida with record breaking #coronavirus  numbers.,Wes_Rulz,Earth,['coronavirus'],Twitter for iPhone,273,968,2020-07-12 16:58:34,False,"[('Florida', 'GPE'), '']","{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
4506,,6 new cases in Cuba [17:58 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic,COVIDLive,,"['coronavirus', 'CoronaVirusUpdate', 'COVID19', 'CoronavirusPandemic']",COVID19-Updates,402,1,2020-07-12 16:58:34,False,"[('6', 'CARDINAL'), ('Cuba', 'GPE'), ('17:58', 'TIME'), '', '', '']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4507,, 91 employees in AP Tirumala Tirupati Devasthanams temple have test +ve for #coronavirusChittoor collector 2 days earli…,mshahul5,,['coronavirus'],Twitter for iPhone,24,80,2020-07-12 16:58:33,False,"[('91', 'CARDINAL'), ('AP', 'GPE'), ('Tirumala Tirupati', 'PERSON'), ('2 days', 'DATE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4508,,"  It's never changed and it's never been more blatant.""Democrats work to help people that need help. That other par…",heysyd,Seattle,[],Twitter Web App,4412,5000,2020-07-12 16:58:31,False,[],"{'neg': 0.0, 'neu': 0.759, 'pos': 0.241, 'compound': 0.6597}"
4509,, WHO says “evidence emerging” of airborne #coronavirus spreading. What does this mean?  answers | #AJDoctorsNo…,Ordinand_Rajiv,"England, United Kingdom",['coronavirus'],Twitter Web App,481,1908,2020-07-12 16:58:31,False,"[('WHO', 'ORG')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4510,,"The #secondwave fan club, who cynically want this to end only after Nov, keep describing first wave pockets due to geography, migration, curve flattening etcMeanwhile the #Sweden take looks sensible to me (based as it is on actual #science) #coronavirus ",alkanomega,The United Kingdom,"['secondwave', 'Sweden', 'science', 'coronavirus']",Twitter Web App,486,1609,2020-07-12 16:58:30,False,"['', ('secondwave fan club', 'ORG'), ('Nov', 'PERSON'), ('first', 'ORDINAL'), ('etcMeanwhile', 'GPE'), ('Sweden', 'GPE'), '', '']","{'neg': 0.054, 'neu': 0.862, 'pos': 0.084, 'compound': 0.0772}"
4511,, ‼️37-year-old #Ohio veteran—who posted a widely shared anti-#mask screed on Facebook—tested positive for #COVID19 on Jul…,aimee8476,"Little Rock, Arkansas","['Ohio', 'mask', 'COVID19']",Twitter for Android,94,141,2020-07-12 16:58:30,False,"[('Ohio', 'GPE'), ('Facebook', 'ORG'), ('Jul', 'ORG')]","{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7184}"
4512,," Coronavirus Update:☣️️ Total cases: 12,940,326 (+43,478) ☣️️⚠️ Current cases: 4,831,913 (+16,173) ⚠️⚰️ Deaths: 569,285 (+699…",FribourgNancy,"California, USA",[],Twitter for Android,222,314,2020-07-12 16:58:29,False,"[('Coronavirus Update:', 'ORG'), ('12,940,326', 'CARDINAL'), ('️️', 'ORG'), ('4,831,913', 'CARDINAL'), ('569,285', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4513,, NEW: Docs Show Obama gang criminally ABUSED . Coup Against  NOT OVER! Stone commutation should be t…,GarnoRealestate,"Lansing, MI",[],Twitter Web App,62367,62305,2020-07-12 16:58:28,False,"[('Docs Show', 'PERSON')]","{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.6514}"
4514,, Follow .  Share the stories of so many lost to #COVID19.  Remind everyone that they are not just numbers. The…,lcworking,,['COVID19'],Twitter for iPhone,90,291,2020-07-12 16:58:28,False,[],"{'neg': 0.118, 'neu': 0.781, 'pos': 0.101, 'compound': -0.0972}"
4515,, We've been relying on plastics for too long. It's high time we turn to the best possible alternative.#worldplasticday…,Saran52235132,,['worldplasticday'],Twitter for Android,1,85,2020-07-12 16:58:28,False,[],"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.6369}"
4516,, Germany and UK have similar population densities. Germany has a slightly higher population.#Coronavirus deaths in Germ…,SueTullett,,['Coronavirus'],Twitter for iPhone,77,175,2020-07-12 16:58:27,False,"[('Germany', 'GPE'), ('UK', 'GPE'), ('Germany', 'GPE')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
4517,, #OPEC+ looks as if it'll agree on Wednesday to pump an extra 2 million barrels a day of #oil from next month. But it's…,Mohammed222022,SCOTLAND,"['OPEC', 'oil']",Twitter for Android,7762,3997,2020-07-12 16:58:27,False,"['', ('Wednesday', 'DATE'), ('an extra 2 million barrels', 'QUANTITY'), '', ('next month', 'DATE')]","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3612}"
